external_id,conditioning
SRR7161124,IFNg
SRR7161125,IFNg
SRR7161126,IFNg
SRR7161127,IFNg
SRR7161128,IFNg
SRR7161129,IFNg
SRR7161130,IFNb
SRR7161131,IFNb
SRR7161132,IFNg
SRR7161133,IFNb
SRR7161134,IFNg
SRR7161135,IFNg
SRR7161136,IFNg
SRR7161137,IFNg
SRR7161138,IFNg
SRR7161139,IFNg
SRR7161140,IFNg
SRR7161141,IFNg
SRR7161142,IFNg
SRR7161143,IFNg
SRR7161144,Naive
SRR7161145,Naive
SRR7161146,IFNg
SRR7161147,IFNg
SRR7161148,IFNg
SRR7161149,IFNg
SRR7161150,Naive
SRR7161151,Naive
SRR7161152,IFNg
SRR7161153,IFNg
SRR7161154,Naive
SRR7161155,Naive
SRR7161156,Naive
SRR7161157,Naive
SRR7161158,Naive
SRR7161159,Naive
SRR7161160,Naive
SRR7161161,Naive
SRR7161162,Naive
SRR7161163,Naive
SRR7161164,Naive
SRR7161165,Naive
SRR7161166,Naive
SRR7161167,Naive
SRR7161168,Naive
SRR7161169,Naive
SRR7161170,Naive
SRR7161171,Naive
SRR7161172,Naive
SRR7161173,Naive
SRR7161174,Naive
SRR7161175,Naive
SRR7161176,IFNb
SRR7161177,IFNb
SRR7161178,IFNb
SRR7161179,IFNb
SRR7161180,IFNb
SRR7161181,Naive
SRR7161182,Naive
SRR7161183,Naive
SRR7161184,IFNg
SRR7161185,IFNg
SRR7161186,IFNg
SRR7161187,IFNg
SRR7161188,IFNg
SRR7161189,IFNg
SRR7161190,IFNg
SRR7161191,IFNg
SRR7161192,IFNg
SRR7161193,IFNg
SRR7161194,IFNb
SRR7161195,IFNb
SRR7161196,IFNb
SRR7161197,Naive
SRR7161198,Naive
SRR7161199,Naive
SRR7161200,Naive
SRR7161201,Naive
SRR7161202,IFNb
SRR7161203,IFNb
SRR7161204,Naive
SRR7161205,Naive
SRR7161206,Naive
SRR7161207,Naive
SRR7161208,Naive
SRR7161209,Naive
SRR7161210,Naive
SRR7161211,IFNg
SRR7161212,IFNg
SRR7161213,IFNg
SRR7161214,IFNg
SRR7161215,IFNg
SRR7161216,IFNg
SRR7161217,IFNg
SRR7161218,IFNg
SRR7161219,IFNb
SRR7161220,IFNb
SRR7161221,IFNb
SRR7161222,IFNb
SRR7161223,IFNb
SRR7161224,IFNb
SRR7161225,IFNb
SRR7161226,IFNb
SRR7161227,IFNb
SRR7161228,IFNb
SRR7161229,Naive
SRR7161230,Naive
SRR7161231,IFNb
SRR7161232,IFNb
SRR7161233,IFNb
SRR7161234,IFNb
SRR7161235,IFNb
SRR7161236,IFNb
SRR7161237,IFNb
SRR7161238,IFNb
SRR7161239,IFNb
SRR7161240,IFNb
SRR7161241,Naive
SRR7161242,Naive
SRR7161243,Naive
SRR7161244,Naive
SRR7161245,Naive
SRR7161246,Naive
SRR7161247,Naive
SRR7161248,Naive
SRR7161249,Naive
SRR7161250,Naive
SRR7161251,Naive
SRR7161252,Naive
SRR7161253,Naive
SRR7161254,Naive
SRR7161255,Naive
SRR7161256,Naive
